amount,ip_distance,device_type_id,time_of_day,tx_frequency,merchant_risk,account_age,location_deviation
72.57,4.74,1,11.67,3,0.1,1048.09,20.47
45.07,8.42,1,14.08,4,0.34,676.69,2.01
81.27,7.06,1,17.1,1,0.35,1324.11,2.87
156.69,493.61,2,14.45,0,0.16,113.78,19.99
41.95,9.62,1,15.17,2,0.46,296.71,2.35
41.95,12.47,1,13.12,2,0.07,663.79,4.45
163.44,9.73,2,11.9,3,0.12,58.42,3.63
88.91,37.8,1,12.88,1,0.14,1314.05,5.34
35.16,11.63,1,16.11,3,0.27,331.35,5.0
75.11,432.12,1,13.81,0,0.11,925.81,7.42
35.32,2.99,2,13.6,2,0.19,2316.35,0.41
35.26,12.86,1,12.99,2,0.29,292.0,1.79
59.95,8.77,3,11.46,1,0.32,1373.47,0.72
11.91,19.29,1,16.73,2,0.32,1003.71,1.65
13.71,35.72,1,13.58,2,0.11,198.06,16.41
32.8,6.75,1,12.94,1,0.15,1322.57,0.33
23.39,2.73,2,14.16,2,0.08,63.22,8.93
63.29,3.59,1,12.94,0,0.38,731.58,1.23
25.31,35.82,2,14.63,0,0.21,126.55,28.98
17.34,17.01,1,12.63,2,0.39,1159.94,9.24
150.09,3.54,1,14.25,1,0.08,362.62,2.54
42.21,285.46,2,13.89,1,0.29,1639.29,11.86
52.6,1.71,2,17.71,1,0.22,672.36,5.83
17.18,6.7,1,17.82,1,0.08,83.96,0.29
33.24,32.99,2,15.57,2,0.07,911.31,1.51
54.34,484.84,2,13.82,1,0.14,13.12,3.57
21.09,18.84,1,15.61,0,0.09,347.88,0.87
66.27,1.02,1,15.54,0,0.23,313.22,8.55
31.87,5.88,1,13.06,1,0.23,3650.0,0.57
40.18,22.85,1,10.7,1,0.13,279.51,4.44
31.84,19.16,2,10.19,0,0.23,1129.23,7.83
200.58,12.61,1,13.76,2,0.32,297.25,10.21
49.5,0.72,1,12.99,2,0.09,82.81,16.99
22.62,1.14,1,12.91,3,0.17,64.93,0.67
92.66,14.85,3,12.39,2,0.17,2605.65,59.58
20.01,498.25,2,12.3,2,0.31,101.54,8.52
58.48,1.26,1,15.31,2,0.17,1780.41,6.63
